Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.558000,ExampleTwo,Insert,2,S,1,3409.00,GFD,0.00,3409.00,3412.00,0.00,0,0,0.00,0.00,0.00,0,0
0.558000,ExampleTwo,Fill,2,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3411.32,0,-1,-0.68,0.68,0.68,0,1
0.558000,ExampleTwo,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,alexs_trader,Tick,,,,,,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleOne,Insert,3,S,1,3409.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleOne,Fill,3,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3414.14,1,-2,-0.86,1.36,0.86,0,2
0.558000,ExampleOne,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.558000,alexs_trader,Insert,3,S,1,3409.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,alexs_trader,Fill,3,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3414.14,1,-2,-0.86,1.36,0.86,0,2
0.558000,alexs_trader,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.558000,ExampleTwo,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleTwo,Insert,3,B,1,3409.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleTwo,Insert,4,S,1,3410.00,GFD,0.00,3409.00,3412.00,2.82,1,-1,-0.18,0.68,0.68,0,1
0.558000,ExampleTwo,Fill,4,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3414.14,1,-2,-0.86,1.36,0.86,0,2
0.558000,ExampleTwo,Hedge,,B,1,3408.50,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,alexs_trader,Tick,,,,,,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleOne,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleOne,Insert,4,B,1,3409.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleOne,Insert,5,S,1,3410.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleOne,Fill,5,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3416.96,2,-3,-1.04,2.04,1.04,0,3
0.846000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.846000,alexs_trader,Cancel,1,B,-1,3408.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,alexs_trader,Insert,4,B,1,3409.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,alexs_trader,Insert,5,S,1,3410.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,alexs_trader,Fill,5,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3416.96,2,-3,-1.04,2.04,1.04,0,3
0.846000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.846000,ExampleTwo,Cancel,3,B,-1,3409.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleTwo,Insert,5,B,1,3411.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleTwo,Insert,6,S,1,3412.00,GFD,0.00,3409.00,3412.00,5.64,2,-2,-0.36,1.36,0.86,0,2
0.846000,ExampleTwo,Fill,6,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3416.96,2,-3,-1.04,2.04,1.04,0,3
0.846000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleOne,Insert,6,S,1,3410.00,GFD,0.00,3409.00,3412.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleOne,Fill,6,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3419.78,3,-4,-5.22,2.72,5.22,0,4
0.981000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,alexs_trader,Insert,6,S,1,3410.00,GFD,0.00,3409.00,3413.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,alexs_trader,Fill,6,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3419.78,3,-4,-5.22,2.72,5.22,0,4
0.981000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleTwo,Cancel,5,B,-1,3411.00,GFD,0.00,3409.00,3413.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleTwo,Insert,7,B,1,3412.00,GFD,0.00,3409.00,3413.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleTwo,Insert,8,S,1,3413.00,GFD,0.00,3409.00,3413.00,7.46,3,-3,-1.54,2.04,1.54,0,3
0.981000,ExampleTwo,Fill,8,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3419.78,3,-4,-5.22,2.72,5.22,0,4
0.981000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleOne,Insert,7,S,1,3410.00,GFD,0.00,3409.00,3413.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleOne,Fill,7,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3421.60,4,-5,-2.40,3.40,5.72,0,5
0.981000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,12.10,5,-5,-2.90,3.40,5.72,0,5
0.981000,alexs_trader,Insert,7,S,1,3410.00,GFD,0.00,3409.00,3412.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,alexs_trader,Fill,7,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3421.60,4,-5,-2.40,3.40,5.72,0,5
0.981000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,12.10,5,-5,-2.90,3.40,5.72,0,5
0.981000,ExampleTwo,Cancel,7,B,-1,3412.00,GFD,0.00,3409.00,3412.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleTwo,Insert,9,B,1,3413.00,GFD,0.00,3409.00,3412.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleTwo,Insert,10,S,1,3414.00,GFD,0.00,3409.00,3412.00,10.28,4,-4,-5.72,2.72,5.72,0,4
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3412.00,12.10,5,-5,-2.90,3.40,5.72,0,5
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3412.00,10.28,4,-4,-1.72,2.72,5.72,0,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3412.00,12.10,5,-5,-2.90,3.40,5.72,0,5
0.981000,ExampleOne,Insert,8,S,1,3410.00,GFD,0.00,3409.00,3412.00,12.10,5,-5,-2.90,3.40,5.72,0,5
0.981000,ExampleTwo,Fill,9,B,-1,3413.00,GFD,-0.34,3409.00,3413.00,-3402.38,4,-3,-5.38,2.38,5.72,1,4
0.981000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3409.00,3413.00,7.12,3,-3,-4.88,2.38,5.72,1,4
0.981000,ExampleOne,Fill,8,S,-1,3413.00,GFD,0.68,3409.00,3413.00,3424.42,5,-6,-8.58,4.08,8.58,0,6
0.981000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3413.00,14.92,6,-6,-9.08,4.08,9.08,0,6
0.981000,alexs_trader,Insert,8,S,1,3410.00,GFD,0.00,3409.00,3413.00,12.10,5,-5,-2.90,3.40,5.72,0,5
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3413.00,14.92,6,-6,-9.08,4.08,9.08,0,6
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3413.00,7.12,3,-3,-4.88,2.38,5.72,1,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3413.00,12.10,5,-5,-7.90,3.40,7.90,0,5
0.981000,ExampleOne,Insert,9,S,1,3410.00,GFD,0.00,3409.00,3413.00,14.92,6,-6,-9.08,4.08,9.08,0,6
0.981000,ExampleTwo,Cancel,10,S,-1,3414.00,GFD,0.00,3409.00,3413.00,7.12,3,-3,-4.88,2.38,5.72,1,4
0.981000,ExampleTwo,Insert,11,B,1,3412.00,GFD,0.00,3409.00,3413.00,7.12,3,-3,-4.88,2.38,5.72,1,4
0.981000,alexs_trader,Fill,8,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3422.44,5,-6,7.44,3.06,7.90,0,6
0.981000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,12.94,6,-6,6.94,3.06,7.90,0,6
0.981000,ExampleTwo,Fill,11,B,-1,3410.00,GFD,0.68,3409.00,3410.00,-3403.56,3,-2,3.44,3.06,5.72,2,4
0.981000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3409.00,3410.00,5.94,2,-2,3.94,3.06,5.72,2,4
0.981000,ExampleTwo,Insert,12,S,1,3413.00,GFD,0.00,3409.00,3410.00,5.94,2,-2,3.94,3.06,5.72,2,4
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3410.00,14.92,6,-6,8.92,4.08,9.08,0,6
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3410.00,5.94,2,-2,3.94,3.06,5.72,2,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3410.00,12.94,6,-6,6.94,3.06,7.90,0,6
0.981000,ExampleTwo,Cancel,12,S,-1,3413.00,GFD,0.00,3409.00,3410.00,5.94,2,-2,3.94,3.06,5.72,2,4
0.981000,ExampleTwo,Insert,13,B,1,3411.00,GFD,0.00,3409.00,3410.00,5.94,2,-2,3.94,3.06,5.72,2,4
0.981000,ExampleOne,Fill,9,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3425.26,6,-7,9.26,3.74,9.08,0,7
0.981000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,15.76,7,-7,8.76,3.74,9.08,0,7
0.981000,ExampleTwo,Fill,13,B,-1,3410.00,GFD,0.68,3409.00,3410.00,-3404.74,2,-1,3.26,3.74,5.72,3,4
0.981000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3409.00,3410.00,4.76,1,-1,3.76,3.74,5.72,3,4
0.981000,ExampleTwo,Insert,14,S,1,3412.00,GFD,0.00,3409.00,3410.00,4.76,1,-1,3.76,3.74,5.72,3,4
0.981000,alexs_trader,Insert,9,S,1,3410.00,GFD,0.00,3409.00,3410.00,12.94,6,-6,6.94,3.06,7.90,0,6
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3410.00,15.76,7,-7,8.76,3.74,9.08,0,7
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3410.00,4.76,1,-1,3.76,3.74,5.72,3,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3410.00,12.94,6,-6,6.94,3.06,7.90,0,6
0.981000,ExampleTwo,Cancel,14,S,-1,3412.00,GFD,0.00,3409.00,3410.00,4.76,1,-1,3.76,3.74,5.72,3,4
0.981000,ExampleTwo,Insert,15,B,1,3410.00,GFD,0.00,3409.00,3410.00,4.76,1,-1,3.76,3.74,5.72,3,4
0.981000,alexs_trader,Fill,9,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3423.28,6,-7,7.28,2.72,7.90,0,7
0.981000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,13.78,7,-7,6.78,2.72,7.90,0,7
0.981000,ExampleTwo,Fill,15,B,-1,3410.00,GFD,0.68,3409.00,3410.00,-3405.92,1,0,3.08,4.42,5.72,4,4
0.981000,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3410.00,15.76,7,-7,8.76,3.74,9.08,0,7
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3410.00,13.78,7,-7,6.78,2.72,7.90,0,7
0.981000,ExampleOne,Insert,10,S,1,3410.00,GFD,0.00,3409.00,3410.00,15.76,7,-7,8.76,3.74,9.08,0,7
0.981000,alexs_trader,Insert,10,S,1,3410.00,GFD,0.00,3409.00,3410.00,13.78,7,-7,6.78,2.72,7.90,0,7
0.981000,ExampleTwo,Insert,16,S,1,3411.00,GFD,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,ExampleTwo,Cancel,16,S,-1,3411.00,GFD,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,ExampleTwo,Insert,17,B,1,3409.00,GFD,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,ExampleTwo,Insert,18,S,1,3410.00,GFD,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3410.00,15.76,7,-7,8.76,3.74,9.08,0,7
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3410.00,13.78,7,-7,6.78,2.72,7.90,0,7
0.981000,ExampleOne,Tick,,,,,,0.00,3409.00,3410.00,15.76,7,-7,8.76,3.74,9.08,0,7
0.981000,ExampleTwo,Tick,,,,,,0.00,3409.00,3410.00,3.58,0,0,3.58,4.42,5.72,4,4
0.981000,alexs_trader,Tick,,,,,,0.00,3409.00,3410.00,13.78,7,-7,6.78,2.72,7.90,0,7
1.029313,ExampleOne,Fill,10,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3426.10,7,-8,9.10,3.40,9.08,0,8
1.029313,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,16.60,8,-8,8.60,3.40,9.08,0,8
1.029313,alexs_trader,Fill,10,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3424.12,7,-8,7.12,2.38,7.90,0,8
1.029313,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,14.62,8,-8,6.62,2.38,7.90,0,8
1.097563,ExampleOne,Fill,4,B,-1,3409.00,GFD,-0.34,3409.00,3409.00,-3392.06,8,-7,16.94,3.06,9.08,1,8
1.097563,ExampleOne,Hedge,,S,1,3409.50,,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.111968,alexs_trader,Fill,4,B,-1,3409.00,GFD,-0.34,3409.00,3409.00,-3394.04,8,-7,14.96,2.04,7.90,1,8
1.111968,alexs_trader,Hedge,,S,1,3409.50,,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.125000,ExampleOne,Tick,,,,,,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.125000,ExampleTwo,Tick,,,,,,0.00,3409.00,3409.00,3.58,0,0,3.58,4.42,5.72,4,4
1.125000,alexs_trader,Tick,,,,,,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.125000,ExampleOne,Insert,11,B,1,3409.00,GFD,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.125000,ExampleOne,Insert,12,S,1,3410.00,GFD,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.125000,alexs_trader,Insert,11,B,1,3409.00,GFD,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.125000,alexs_trader,Insert,12,S,1,3410.00,GFD,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.125000,ExampleOne,Tick,,,,,,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.125000,ExampleTwo,Tick,,,,,,0.00,3409.00,3409.00,3.58,0,0,3.58,4.42,5.72,4,4
1.125000,alexs_trader,Tick,,,,,,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.125000,ExampleOne,Tick,,,,,,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.125000,ExampleTwo,Tick,,,,,,0.00,3409.00,3409.00,3.58,0,0,3.58,4.42,5.72,4,4
1.125000,alexs_trader,Tick,,,,,,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.269000,ExampleOne,Tick,,,,,,0.00,3409.00,3409.00,17.44,7,-7,17.44,3.06,9.08,1,8
1.269000,ExampleTwo,Tick,,,,,,0.00,3409.00,3409.00,3.58,0,0,3.58,4.42,5.72,4,4
1.269000,alexs_trader,Tick,,,,,,0.00,3409.00,3409.00,15.46,7,-7,15.46,2.04,7.90,1,8
1.385473,ExampleTwo,Fill,18,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3413.92,0,-1,3.92,4.08,5.72,4,5
1.385473,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,4.42,1,-1,3.42,4.08,5.72,4,5
1.385473,ExampleOne,Fill,12,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3427.78,7,-8,10.78,2.72,9.08,1,9
1.385473,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,18.28,8,-8,10.28,2.72,9.08,1,9
1.385473,alexs_trader,Fill,12,S,-1,3410.00,GFD,-0.34,3409.00,3410.00,3425.80,7,-8,8.80,1.70,7.90,1,9
1.385473,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3410.00,16.30,8,-8,8.30,1.70,7.90,1,9
1.548000,ExampleOne,Tick,,,,,,0.00,3409.00,3410.00,18.28,8,-8,10.28,2.72,9.08,1,9
1.548000,ExampleTwo,Tick,,,,,,0.00,3409.00,3410.00,4.42,1,-1,3.42,4.08,5.72,4,5
1.548000,alexs_trader,Tick,,,,,,0.00,3409.00,3410.00,16.30,8,-8,8.30,1.70,7.90,1,9
1.548000,ExampleOne,Insert,13,S,1,3410.00,GFD,0.00,3409.00,3410.00,18.28,8,-8,10.28,2.72,9.08,1,9
1.548000,ExampleOne,Fill,13,S,-1,3414.00,GFD,0.68,3409.00,3414.00,3431.60,8,-9,-22.40,3.40,39.84,1,10
1.548000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,22.10,9,-9,-22.90,3.40,40.34,1,10
1.548000,alexs_trader,Insert,13,S,1,3410.00,GFD,0.00,3409.00,3414.00,16.30,8,-8,8.30,1.70,7.90,1,9
1.548000,alexs_trader,Fill,13,S,-1,3414.00,GFD,0.68,3409.00,3414.00,3429.62,8,-9,-24.38,2.38,39.84,1,10
1.548000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,20.12,9,-9,-24.88,2.38,40.34,1,10
1.548000,ExampleTwo,Cancel,17,B,-1,3409.00,GFD,0.00,3409.00,3414.00,4.42,1,-1,3.42,4.08,5.72,4,5
1.548000,ExampleTwo,Insert,19,B,1,3410.00,GFD,0.00,3409.00,3414.00,4.42,1,-1,3.42,4.08,5.72,4,5
1.548000,ExampleTwo,Insert,20,S,1,3411.00,GFD,0.00,3409.00,3414.00,4.42,1,-1,3.42,4.08,5.72,4,5
1.548000,ExampleTwo,Fill,20,S,-1,3414.00,GFD,0.68,3409.00,3414.00,3417.74,1,-2,-1.26,4.76,5.72,4,6
1.548000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3414.00,8.24,2,-2,-1.76,4.76,5.72,4,6
1.827000,ExampleOne,Tick,,,,,,0.00,3409.00,3411.00,22.10,9,-9,4.10,3.40,40.34,1,10
1.827000,ExampleTwo,Tick,,,,,,0.00,3409.00,3411.00,8.24,2,-2,4.24,4.76,5.72,4,6
1.827000,alexs_trader,Tick,,,,,,0.00,3409.00,3411.00,20.12,9,-9,2.12,2.38,40.34,1,10
1.827000,ExampleOne,Insert,14,S,1,3410.00,GFD,0.00,3409.00,3411.00,22.10,9,-9,4.10,3.40,40.34,1,10
1.827000,ExampleOne,Fill,14,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3433.42,9,-10,-5.58,4.08,40.34,1,11
1.827000,ExampleOne,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,23.92,10,-10,-6.08,4.08,40.34,1,11
1.827000,ExampleTwo,Cancel,19,B,-1,3410.00,GFD,0.00,3409.00,3412.00,8.24,2,-2,4.24,4.76,5.72,4,6
1.827000,ExampleTwo,Insert,21,B,1,3411.00,GFD,0.00,3409.00,3412.00,8.24,2,-2,4.24,4.76,5.72,4,6
1.827000,ExampleTwo,Insert,22,S,1,3412.00,GFD,0.00,3409.00,3412.00,8.24,2,-2,4.24,4.76,5.72,4,6
1.827000,ExampleTwo,Fill,22,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3419.56,2,-3,1.56,5.44,5.72,4,7
1.827000,ExampleTwo,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,10.06,3,-3,1.06,5.44,5.72,4,7
1.827000,alexs_trader,Insert,14,S,1,3410.00,GFD,0.00,3409.00,3412.00,20.12,9,-9,2.12,2.38,40.34,1,10
1.827000,alexs_trader,Fill,14,S,-1,3412.00,GFD,0.68,3409.00,3412.00,3431.44,9,-10,-7.56,3.06,40.34,1,11
1.827000,alexs_trader,Hedge,,B,1,3409.50,,0.00,3409.00,3412.00,21.94,10,-10,-8.06,3.06,40.34,1,11
1.852331,ExampleTwo,Fill,21,B,-1,3411.00,GFD,-0.34,3410.00,3411.00,-3400.60,3,-2,7.40,5.10,5.72,5,7
1.852331,ExampleTwo,Hedge,,S,1,3409.50,,0.00,3410.00,3411.00,8.90,2,-2,6.90,5.10,5.72,5,7
1.852331,ExampleOne,Fill,11,B,-1,3409.00,GFD,-0.34,3410.00,3409.00,-3384.74,10,-9,34.26,3.74,40.34,2,11
1.852331,ExampleOne,Hedge,,S,1,3409.50,,0.00,3410.00,3409.00,24.76,9,-9,33.76,3.74,40.34,2,11
1.852331,alexs_trader,Fill,11,B,-1,3409.00,GFD,-0.34,3410.00,3409.00,-3386.72,10,-9,32.28,2.72,40.34,2,11
1.852331,alexs_trader,Hedge,,S,1,3409.50,,0.00,3410.00,3409.00,22.78,9,-9,31.78,2.72,40.34,2,11
1.971000,ExampleOne,Tick,,,,,,0.00,3410.00,3407.00,24.76,9,-9,51.76,3.74,40.34,2,11
1.971000,ExampleTwo,Tick,,,,,,0.00,3410.00,3407.00,8.90,2,-2,14.90,5.10,5.72,5,7
1.971000,alexs_trader,Tick,,,,,,0.00,3410.00,3407.00,22.78,9,-9,49.78,2.72,40.34,2,11
1.971000,ExampleOne,Insert,15,B,1,3409.00,GFD,0.00,3410.00,3407.00,24.76,9,-9,51.76,3.74,40.34,2,11
1.971000,ExampleOne,Insert,16,S,1,3410.00,GFD,0.00,3410.00,3407.00,24.76,9,-9,51.76,3.74,40.34,2,11
1.971000,alexs_trader,Insert,15,B,1,3409.00,GFD,0.00,3410.00,3407.00,22.78,9,-9,49.78,2.72,40.34,2,11
1.971000,alexs_trader,Insert,16,S,1,3410.00,GFD,0.00,3410.00,3407.00,22.78,9,-9,49.78,2.72,40.34,2,11
1.971000,ExampleTwo,Insert,23,B,1,3411.00,GFD,0.00,3410.00,3407.00,8.90,2,-2,14.90,5.10,5.72,5,7
